road_id,start_lat,start_lon,end_lat,end_lon,length_km,road_type,area,speed_limit,capacity
road_0000,40.80447246752146,-73.99401551064027,40.80606807929766,-73.99490791907061,0.20293185469925845,arterial,residential,60,2500
road_0001,40.80949107356936,-73.96391243158607,40.802142035979195,-73.95670910769178,1.1422554149234658,local,residential,35,800
road_0002,40.72351506842384,-73.96679396976803,40.725064781259285,-73.97363574361914,0.7786749234952084,arterial,midtown,60,2500
road_0003,40.7911614698899,-73.9971824244575,40.79000225050593,-73.99756348722498,0.13544722014762764,collector,residential,45,1500
road_0004,40.7746287921634,-73.93637254877068,40.778756663000664,-73.93430474472216,0.512468274054468,collector,residential,45,1500
road_0005,40.77476408309478,-73.96823070091489,40.771455342797736,-73.97504386519662,0.8407249466569026,collector,midtown,45,1500
road_0006,40.796308181536965,-73.9632723129526,40.79064722561195,-73.96516035448163,0.662393118942707,arterial,residential,60,2500
road_0007,40.70105925421109,-73.79200731226265,40.697041979094735,-73.78602134586328,0.8002037123277691,collector,suburban,45,1500
road_0008,40.74483244518929,-73.97033735860573,40.742120175604185,-73.96923587183032,0.3249415641582244,collector,midtown,45,1500
road_0009,40.74105839625748,-73.99941744380057,40.743800587971144,-74.0006123480315,0.3320256876862078,arterial,midtown,60,2500
road_0010,40.69591159380505,-73.82426598115977,40.69269335081679,-73.82477492248206,0.36166432152742684,arterial,suburban,60,2500
road_0011,40.65692390877457,-73.74942808238488,40.66042994382311,-73.74527501001057,0.6032958947284636,highway,suburban,80,4000
road_0012,40.79398843427041,-73.9412929963572,40.79309873493394,-73.94841402803792,0.7965799371157893,collector,residential,45,1500
road_0013,40.741050449839285,-73.98098885522496,40.74654922684213,-73.9813834288372,0.6119336159930706,arterial,midtown,60,2500
road_0014,40.76936020671709,-73.98141462047757,40.76746345285169,-73.98498809799929,0.4490689731997474,collector,midtown,45,1500
road_0015,40.72484697982401,-74.01459505800035,40.72546121775939,-74.01543098832153,0.11514439049710144,collector,midtown,45,1500
road_0016,40.73100440294086,-73.98775581733632,40.72725185179998,-73.98215927417702,0.7479368737061254,collector,midtown,45,1500
road_0017,40.75868351619848,-73.94023079983116,40.760942031934064,-73.93394199950023,0.7417084696842952,local,residential,35,800
road_0018,40.716165397891224,-73.7396523951108,40.712692567465695,-73.74097294905013,0.41241263718129983,collector,suburban,45,1500
road_0019,40.74909586171322,-73.98772674635582,40.755260111144224,-73.9961520648342,1.1587887650836528,collector,downtown,45,1500
