road_id,start_lat,start_lon,end_lat,end_lon,length_km,road_type,area,speed_limit,capacity
road_0000,51.20721558440182,71.41748061169966,51.208811196178026,71.41658820326931,0.20293185469925845,arterial,right_bank,60,2500
road_0001,51.213488841961706,71.4551094605174,51.20613980437154,71.4623127844117,1.1422554149234658,local,right_bank,35,800
road_0002,51.09202009123179,71.43847470697595,51.09356980406723,71.43163293312485,0.7786749234952084,arterial,left_bank,60,2500
road_0003,51.19057683736238,71.4135219694281,51.18941761797841,71.41314090666063,0.13544722014762764,collector,right_bank,45,1500
road_0004,51.16991099020425,71.48953431403665,51.17403886104152,71.49160211808517,0.512468274054468,collector,right_bank,45,1500
road_0005,51.160352110793035,71.43655906544681,51.15704337049599,71.42974590116508,0.8407249466569026,collector,left_bank,45,1500
road_0006,51.197010226921215,71.45590960880924,51.1913492709962,71.45402156728021,0.662393118942707,arterial,right_bank,60,2500
road_0007,51.11464444065831,71.472169515803,51.110627165541956,71.47815548220238,0.8002037123277691,collector,esil_district,45,1500
road_0008,51.12044326025239,71.43375018852568,51.11773099066728,71.43485167530109,0.3249415641582244,collector,left_bank,45,1500
road_0009,51.11541119500996,71.39497674159925,51.11815338672363,71.39378183736832,0.3320256876862078,arterial,left_bank,60,2500
road_0010,51.11078369535379,71.44797551413016,51.10756545236553,71.44746657280787,0.36166432152742684,collector,esil_district,45,1500
road_0011,51.08154293158093,71.50410393821133,51.085048966629465,71.50825701058564,0.6032958947284636,arterial,esil_district,60,2500
road_0012,51.19411054283802,71.48338375455349,51.19322084350155,71.47626272287278,0.7965799371157893,collector,right_bank,45,1500
road_0013,51.11540059978571,71.41954819303338,51.12089937678855,71.41915361942114,0.6119336159930706,arterial,left_bank,60,2500
road_0014,51.153146942289446,71.41898050602991,51.15125018842405,71.41540702850818,0.4490689731997474,collector,left_bank,45,1500
road_0015,51.09379597309867,71.3747399226662,51.09441021103405,71.37390399234502,0.11514439049710144,collector,left_bank,45,1500
road_0016,51.10200587058781,71.4105255768849,51.098253319446926,71.4161221200442,0.7479368737061254,collector,left_bank,45,1500
road_0017,51.14997939524811,71.48471150021103,51.15223791098369,71.49100030054196,0.7417084696842952,local,right_bank,35,800
road_0018,51.12597404841841,71.5114357036669,51.122501217992884,71.51011514972757,0.41241263718129983,local,esil_district,35,800
road_0019,51.15469379256984,71.44515988046629,51.16085804200084,71.4367345619879,1.1587887650836528,collector,city_center,45,1500
road_0020,51.16857999845184,71.4595019477238,51.16645352869746,71.45674524814096,0.38645325839948724,arterial,city_center,60,2500
road_0021,51.15694799555623,71.45525725431128,51.16598815266284,71.45040496721408,1.1388682794545015,collector,esil_district,45,1500
road_0022,51.15037767188937,71.47600489108373,51.15431856085408,71.47526930096389,0.44499370686275075,arterial,city_center,60,2500
road_0023,51.179136852536935,71.44184452872075,51.17907021172284,71.44491302270406,0.34068314722658327,arterial,esil_district,60,2500
road_0024,51.08968684609002,71.45590858984447,51.09207393799065,71.45567472043778,0.2662358229937033,local,esil_district,35,800
